source,title,company,location,contract_type,sector,experience,education,salary,description,skills_raw,url,posted_date,scraped_at
emploi_ma,Chef de Projet Confirmé Etudes D´Exécution CFO - Casablanca,B2I,Casablanca-Mohammedia,CDI,Secteur d´activité,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Bac+5 et plus,15 000 - 20 000 DH,"Qui sommes-nous ? Acteur reconnu dans le domaine du génie électrique, nous intervenons sur des projets tertiaires d’envergure en France. Notre engagement : l’excellence technique au service de la qualité d’exécution. Nous intervenons principalement sur des projets sous processus BIM. Dans le cadre de notre développement, nous recherchons un Chef de Projet Expérimenté en Études Exécution CFO/CFA/SSI pour renforcer notre pôle ingénierie. Votre mission Rattaché(e) au Responsable du Bureau d’Études, vous prenez en charge la gestion complète des études d’exécution sur des projets tertiaires complexes (bureaux, hôpitaux, équipements publics, etc.). À ce titre, vos principales responsabilités seront : Piloter et coordonner une équipe d’ingénieurs, projeteurs et dessinateurs, Être garant de la production et de la qualité technique des documents critiques : plans d’exécution, schémas, synoptiques, notes de calculs, DOE… Participer activement à la production, notamment sur les éléments stratégiques Assurer l’interface technique et l’organisation auprès du Chef de Projet de notre BET en France, Veiller au respect des délais, budgets et exigences contractuelles Participer à la montée en compétence de vos équipes, vous êtes un véritable « capitaine » pour les collaborateurs qui vous sont confiés.",AUTOCAD - AUTOCAD ELECTRICAL - BIM - CANECO BT - DIALUX - Électrotechnique - Génie Électrique - REVIT,https://www.emploi.ma/offre-emploi-maroc/chef-projet-confirme-etudes-execution-cfo-casablanca-9255591,2026-04-19,2026-04-19T22:44:30.956073
emploi_ma,Consultant RPA et Automatisation  - Mohammedia,BRIQUETERIE JBEL ANNOUR,Casablanca-Mohammedia,CDI,Secteur d´activité,Expérience entre 2 ans et 5 ans et plus,"Bac+3, Bac+4 & Bac+5 et plus",N/A,"Nous sommes à la recherche des Consultants RPA et Automatisation. Le Consultant RPA est chargé d’analyser, concevoir, développer, déployer et maintenir des solutions d’automatisation des processus métiers à l’aide d’outils RPA, afin d’améliorer la performance opérationnelle, réduire les coûts et sécuriser les processus.",BLUE - PRISM,https://www.emploi.ma/offre-emploi-maroc/consultant-rpa-automatisation-mohammedia-9261204,2026-04-19,2026-04-19T22:44:39.514049
emploi_ma,Ingénieur Process (H/F) - Casablanca,EXPERT EYE ENGINEERING,Casablanca-Mohammedia,CDI,Secteur d´activité,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Bac+5 et plus,N/A,"Nous sommes à la recherche d'un Ingénieur Process (H/F). Missions principales Intégré au pôle ingénierie, l’ingénieur process interviendra sur des projets industriels, énergétiques et d’infrastructures, principalement en phase études : Réalisation des études de procédé (faisabilité, APS, APD, ingénierie de base et détaillée) Élaboration et mise à jour des PFD / PID, bilans matière et énergie Définition des bases de conception (Design Basis) et notes de calcul process Réalisation des calculs hydrauliques (pertes de charge, dimensionnement des lignes, sélection des pompes, régimes d’écoulement) Réalisation des calculs de flexibilité des réseaux de tuyauterie en coordination avec la discipline piping Dimensionnement des équipements process (réservoirs, échangeurs, pompes, compresseurs, colonnes, utilités, etc.) Rédaction des spécifications techniques process pour consultation fournisseurs Analyse des conditions opératoires, transitoires et scénarios de fonctionnement Participation aux études de sécurité (HAZID, HAZOP, ATEX – selon projets) Interface technique avec les disciplines piping, mécanique, instrumentation et électricité Participation aux revues techniques clients et internes",BTP - Dimensionnement - Énergie - HAZOP - Instrumentation - Tuyauterie,https://www.emploi.ma/offre-emploi-maroc/ingenieur-process-hf-casablanca-9272501,2026-04-19,2026-04-19T22:44:49.254877
emploi_ma,Responsables de Magasin - Casablanca et El Jadida,MARJANE MARKET,Casablanca-Mohammedia,CDI,Secteur d´activité,Expérience entre 2 ans et 5 ans,Bac+4 & Bac+5 et plus,N/A,"Dans le cadre de l’ouverture de nouveaux sites, Marjane Market recrute des Responsables Magasins (H/F) pour les villes de : Casablanca et El Jadida. Vous serez rattaché au Directeur Régional, vous dirigez une surface de vente, coordonnez et optimisez l’activité, contrôlez la gestion quotidienne et encadrez une équipe. Dans ce cadre vous serez directement responsable du résultat d’exploitation du magasin et pleinement impliqué(e) sur les missions suivantes : Contribuer au développement du chiffre d’affaires et de la marge ; Établir les prévisions des ventes et s’assurer de la fidélisation des clients…); Établir le budget prévisionnel annuel ; Analyser les tableaux de pilotage et mettre en place des plans d’action, être le garant du respect des procédures ; Animer l’équipe de vente, Organiser la communication interne ; Veiller au respect de la législation sociale et la sécurité.",Vente,https://www.emploi.ma/offre-emploi-maroc/responsables-magasin-casablanca-el-jadida-9273985,2026-04-19,2026-04-19T22:44:58.992218
emploi_ma,Consultant Chef Pâtissier - Casablanca,GROUPE MCE,Casablanca-Mohammedia,Freelance,Secteur d´activité,Expérience entre 2 ans et 5 ans et plus,"Bac+3, Bac+4 & Bac+5 et plus",N/A,"Dans le cadre d’un projet pour le compte de notre client, nous recherchons un Consultant Chef Pâtissier en mission freelance afin d’accompagner le développement de produits et l’amélioration des processus de préparation. Missions principales : Développement de produits Concevoir et finaliser une recette signature Apporter des recommandations techniques pour améliorer la qualité des préparations Participer à l’optimisation des méthodes de production Optimisation des processus Analyser et améliorer les procédés de préparation Proposer des solutions pour optimiser l’organisation et l’efficacité en production Veiller au respect des standards de qualité Accompagnement de l’équipe Former l’équipe aux techniques de préparation Transmettre les bonnes pratiques et le savoir-faire en pâtisserie Assurer un accompagnement opérationnel durant la mission",Accompagnement - Pâtisserie - Tourisme,https://www.emploi.ma/offre-emploi-maroc/consultant-chef-patissier-casablanca-9274345,2026-04-19,2026-04-19T22:45:08.306884
emploi_ma,Ingénieur(e) d’Études en Génie Civil - Chef de Projets - Barrage - Rabat,INNOV ENGINEERING CONSULTING,Rabat-Salé-Kénitra,CDI,Secteur d´activité,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Bac+5 et plus,N/A,Nous sommes à la recherche d'un Ingénieur(e) d’Études en Génie Civil - Chef de Projets - Barrage. Missions: Réaliser des études de projets au sein d’une équipe pluridisciplinaire ; Réaliser des calculs propres au dimensionnement et à la justification du projet correspondant ; Participer aux réunions avec les clients et les parties prenantes,Dimensionnement,https://www.emploi.ma/offre-emploi-maroc/ingenieure-etudes-genie-civil-chef-projets-barrage-rabat-9278628,2026-04-19,2026-04-19T22:45:17.245060
emploi_ma,Prospecteur International - VEO - Espagnol (H/F) - Rabat,DARE TALENT DEVELOPMENT,Rabat-Salé-Kénitra,Freelance,Secteur d´activité,"Etudiant, jeune diplômé et plus","Bac, Bac+1, Bac+2, Bac+3 & Bac+4",N/A,"À propos de VEO VEO Worldwide Services est une entreprise internationale spécialisée dans le déstockage, avec plus de 19 ans d’expérience . Elle fait partie du groupe NOZ , leader européen du déstockage, réalisant un chiffre d’affaires annuel de plus de 1 milliard d’euros .Nous sommes une équipe de plus de 1 000 collaborateurs répartis dans 9 pays , travaillant avec des partenaires dans 35 marchés en Europe et en Afrique du Nord. Notre mission : Aider les entreprises à valoriser leurs surplus de stock, contribuer à une économie mondiale plus durable et offrir des carrières enrichissantes. Missions de Prospecteur Identifier des opportunités de déstockage : invendus, produits à courte durée de vie, anciennes collections, commandes annulées Collaborer avec les équipes achats et marketing pour préparer les stratégies de négociation et développer des approches commerciales efficaces Analyser et qualifier les données marché afin de proposer les meilleures solutions à nos partenaires Ce que nous offrons Opportunité de générer un revenu attractif ainsi que des primes basées sur la performance. Formation intensive de 4 mois + accompagnement (DARE Academy) Déplacements internationaux et participation à des salons professionnels Évolution de carrière rapide : Buyer, Manager, Trainer Environnement multiculturel avec des équipes internationales",Achats - Négociation - Vente,https://www.emploi.ma/offre-emploi-maroc/prospecteur-international-veo-hf-rabat-9287429,2026-04-19,2026-04-19T22:45:27.380595
emploi_ma,Chef de Projet Trade Marketing - Casablanca,DIRECT SALES,Casablanca-Mohammedia,CDI,Secteur d´activité,"Etudiant, jeune diplômé et plus",Bac+4 & Bac+5 et plus,6 000 - 8 000 DH,"Nous sommes à la recherche d'un Chef de Projet Trade Marketing. En tant que Chef de Projet Trade Marketing , vous piloterez des opérations commerciales complètes du terrain à l'analyse , en coordonnant des animations commerciales et en exploitant les données pour optimiser les campagnes. Responsabilités principales Terrain (50%) Coordonner et superviser opérations street marketing (caravanes, animations, événements) Assurer présence terrain et veiller à l'exécution conforme aux spécifications Manager équipes d'animateurs et gérer logistique déploiement Résoudre problèmes opérationnels en direct et en temps réel Vérifier qualité et respect des délais d'exécution Collecter données terrain (participations, acquisitions, retours clients) Analyse de Données (50%) Analyser résultats post-campagnes (KPIs, ROI, conversions) Exploiter données collectées pour générer insights actionnables Créer rapports bilans détaillés avec visualisations Identifier tendances et axes d'amélioration Formuler recommandations stratégiques pour optimiser futures campagnes Utiliser outils BI/analytics (Tableau, Power BI, Google Analytics) Présenter résultats aux décideurs en format clair & percutan",Communication - Marketing,https://www.emploi.ma/offre-emploi-maroc/chef-projet-trade-marketing-casablanca-9287543,2026-04-19,2026-04-19T22:45:36.871047
emploi_ma,Responsable Finance et Comptabilité - Kénitra,TK BETON,Rabat-Salé-Kénitra,CDI,Secteur d´activité,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Bac+5 et plus,N/A,"Nous sommes un groupe industriel basé dans la région de kenitra nous recrutons un Responsable Financier Groupe pour rejoindre notre équipe et accompagner notre développement. Missions principales : En tant que Responsable Financier, vous serez un acteur clé dans la gestion financière du groupe. Vos principales missions seront les suivantes : Superviser l'ensemble des fonctions financières : comptabilité, trésorerie, contrôle de gestion, fiscalité, etc. Élaborer, mettre en place et suivre les budgets et les prévisions financières. Analyser les résultats financiers et fournir des recommandations à la direction générale pour soutenir la prise de décisions stratégiques. Assurer la gestion de la trésorerie et optimiser la rentabilité de l'entreprise. Piloter les audits internes et externes. Participer à la définition des objectifs financiers et à l'élaboration de la stratégie du groupe. Encadrer une équipe de quatre collaborateurs et garantir le bon fonctionnement des services financiers. Assurer la conformité aux normes comptables, fiscales et réglementaires",Comptabilité - Finance - Fiscalité - Gestion - Gestion de la Trésorerie - Gestion Financière - Trésorerie,https://www.emploi.ma/offre-emploi-maroc/responsable-finance-comptabilite-kenitra-9289332,2026-04-19,2026-04-19T22:45:46.312967
emploi_ma,Agent de Sécurité - Kénitra Amer Seflia,EDSN,Rabat-Salé-Kénitra,"CDI, CDD & Anapec",Secteur d´activité,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",N/A,"Dans le cadre du renforcement des équipes de notre client, nous recrutons plusieurs profils d’ Agents de Sécurité pour intervenir au sein d’un site basé à Kénitra (Zone Franche Ouled Bourahma). Profils recherchés : Agent de gardiennage Agent de gardiennage maître-chien Agent rondier Agent fouilleur Agent opérateur vidéo Agent d’accueil (portier)",Accueil - Gardiennage - Sécurité,https://www.emploi.ma/offre-emploi-maroc/agent-securite-kenitra-kenitra-amer-seflia-9291531,2026-04-19,2026-04-19T22:45:55.750015
emploi_ma,Assistante de Direction - Nouaceur,N/A,Casablanca-Mohammedia,CDI,Secteur d´activité,Expérience entre 2 ans et 5 ans et plus,Bac+4 & Bac+5 et plus,N/A,"Nous sommes à la recherche d'une Assistante de Direction. Missions principales: Gérer les notes de frais. Réaliser des commandes de matériel, de fournitures, de consommables et vérifier la conformité des livraisons. Assurer le suivi des conditions d’exécution d’un contrat, être le support ponctuel à l’administration des ventes (commandes clients, factures clients, BL…). Organiser le tri et l’archivage des documents importants Gérer et actualiser la documentation professionnelle et réglementaire. Organiser le tri et l’archivage des documents importants rédiger des rapports de gestion . suivre et traiter les contrats",Administration - Archivage - Assistanat - Communication - Communication Écrite - Documentation - Gestion - Gestion Administrative - Management - Management d'Entreprise - Support,https://www.emploi.ma/offre-emploi-maroc/assistante-direction-nouaceur-9301378,2026-04-19,2026-04-19T22:46:04.209402
